id,name,gender,member_since,year_of_birth,place_of_birth,genres
55,Tom Rob Smith,male,April 11 2014,1969,Israel,Fiction$Mystery
56,Rainy Kaye,female,April 26 2017,1969,Latvia,Paranormal
57,Tom Franklin,male,February 3 2010,1982,Papua,Fiction
58,Kate Summerscale,female,November 18 2007,1981,Kosovo,Biographies Memoirs$Nonfiction
59,Carolyn Ives Gilman,female,September 3 2009,1981,Yemen,Science Fiction
60,William  Gibson,male,December 16 2016,1975,Malawi,Theater
61,Adalbert Stifter,male,September 23 2011,1956,Colombia,Science Fiction$Poetry
62,Glynis Cooney,female,October 5 2012,1961,Chad,Historical$Young Adult
63,Bill Simmons,male,March 28 2009,1987,Grenada,Sports and Games$Entertainment
64,Kameron Hurley,female,April 20 2019,1965,Japan,Science Fiction
65,Sharan Newman,female,January 12 2010,1982,Italy,Thriller
66,Rebecca Solnit,female,September 23 2008,1973,Ethiopia,Fiction$Memoir
67,Nilam Suri,male,November 16 2010,1959,Vanuatu,Science Fiction
68,B.B. Easton,female,September 8 2018,1972,Tunisia,Romance$Memoir
69,Elena Aitken,female,April 23 2015,1971,Togo,Romance
70,Mia Ikumi,male,August 15 2019,1983,Yemen,Manga$Romance
71,Arthur Rimbaud,male,July 7 2011,1982,Israel,Poetry
72,Marcus Buckingham,male,December 8 2007,1954,Honduras,Business
73,Brock Clarke,male,December 22 2010,1950,Croatia,Fiction$Short Stories
74,Ann-Marie MacDonald,female,October 18 2016,1973,Malawi,Science Fiction$Plays
75,Alan McDermott,male,August 6 2008,1976,Lebanon,Thriller$Fiction
76,Andy Riley,male,December 24 2007,1982,St Lucia,Comics Graphic Novels
77,Tonya Burrows,female,October 3 2009,1992,Oman,Romance
78,Adam Santo,male,April 17 2015,1955,Lithuania,Fiction
79,Johann David Wyss,male,October 7 2007,1960,Scottish,Children S
80,Curtis Sittenfeld,female,January 19 2019,1959,Mongolia,Fiction
81,Tayeb Salih,male,October 12 2014,1969,San Marino,Fiction$Short Stories$Politics
82,James Kelman,male,March 24 2011,1990,Azerbaijan,Fiction$Short Stories$Politics
83,Ta-Nehisi Coates,male,August 5 2010,1950,Benin,Nonfiction
84,Tera Lynn Childs,female,November 12 2008,1955,Cambodia,Young Adult
85,Christopher  Morley,male,September 6 2018,1956,Madagascar,Fiction$Nonfiction
86,Cora Harrison,female,May 21 2010,1975,Seychelles,Thriller$Children S Books
87,Sarah Ockler,female,December 18 2017,1965,Mali,Young Adult
88,O. Henry,male,June 25 2017,1978,Lithuania,Short Stories$Humor$Thriller
89,Ayaan Hirsi Ali,female,July 16 2011,1954,Samoa,Biographies Memoirs
90,Kelley York,female,May 10 2012,1983,Ghana,Young Adult
91,Malcolm Lowry,male,September 7 2019,1970,Swaziland,Fiction$Poetry
92,Nikki Loftin,female,May 23 2015,1993,Germany,Fiction
93,Riley Mackenzie,male,January 4 2019,1978,America,Romance
94,Chuck Black,male,January 6 2016,1991,America,Science Fiction$Allegory
95,Suzy Becker,female,October 16 2012,1954,Netherlands,Children S
96,Ann Charles,male,May 28 2010,1980,Israel,Mystery
97,Jack McDevitt,male,December 2 2015,1998,East Timor,Science Fiction
98,Fae Sutherland,female,January 13 2012,1967,Pakistan,Gay Lesbian
99,Madeleine L'Engle,female,May 9 2016,1957,Moldova,Fiction$Science Fiction
100,Evan Dorkin,male,December 24 2017,1971,Somalia,Comics Graphic Novels
101,N.K. Jemisin,male,July 4 2017,1968,Nepal,Science Fiction
102,Elisabeth Staab,female,September 23 2017,1978,Samoa,Romance
103,Jane Harper,male,November 21 2010,1988,South Sudan,Mystery
104,S.H. Kolee,male,May 1 2011,1974,India,Romance
105,Kelli McCracken,female,February 8 2011,1977,St Kitts,Romance
106,Anne Stuart,female,July 5 2016,1990,United States,Romance$Thriller
107,Julie Garwood,female,June 28 2009,1955,Kenya,Romance
108,Penny Hancock,female,November 24 2016,1978,Saudi Arabia,Science Fiction
109,Tom   Savage,male,April 20 2009,1972,Samoa,Mystery$Suspense
110,Robert Kurson,male,August 1 2011,1998,Trinidad,Fiction
111,Helen Hooven Santmyer,female,January 28 2016,1953,Herzegovina,Historical$Fiction
112,Jody Hedlund,female,January 18 2019,1987,Senegal,Historical
113,L.P. Dover,female,September 17 2016,1996,Luxembourg,Romance
114,John Gwynne,male,December 5 2016,1979,Samoa,Science Fiction
115,Katie Klein,female,February 19 2017,1952,Mongolia,Young Adult$Fiction
116,J. Sterling,male,March 7 2019,1955,Poland,New Adult
117,Diarmaid MacCulloch,male,April 5 2014,1996,Togo,History$Religion
118,Celeste Bradley,female,August 15 2007,1993,China,Romance
119,Sam Lipsyte,male,November 2 2016,1960,Belgium,Fiction$Humor
120,Gustave Flaubert,male,November 14 2014,1958,Zambia,Science Fiction
121,Henri Barbusse,male,August 12 2012,1956,Comoros,Fiction
122,Olive Ann Burns,female,May 26 2019,1972,Holland,Fiction
123,K.E.  Lane,female,April 11 2008,1979,Tanzania,Romance
124,Charlotte Stein,female,September 15 2011,1985,Singapore,Romance$Science Fiction
125,Luanne Rice,female,January 3 2013,1975,Andorra,Science Fiction
126,Sydney Taylor,female,January 17 2019,1974,British,Children S Books
127,Tracie Peterson,female,February 17 2013,1955,Central African Republic,Historical$Religion Spirituality
128,Franz Kafka,male,June 17 2011,1990,Belgium,Science Fiction$Philosophy$Short Stories
129,Tahereh Mafi,female,July 24 2014,1959,Congo,Science Fiction
130,Carole Wilkinson,female,November 21 2012,1985,Armenia,Fantasy
131,Felix Abt,male,April 23 2019,1983,Vietnam,Fiction
132,Gail Carson Levine,female,December 3 2011,1964,Qatar,Children S Books$Science Fiction
133,Diamante Lavendar,male,December 22 2008,1962,Italy,Science Fiction
134,Mary Jane Ward,male,January 19 2013,1981,Syria,Science Fiction
135,Sofia Samatar,female,April 2 2019,1998,Switzerland,Fiction$Fantasy
136,Julia Serano,male,August 24 2013,1965,Brunei,Women Gender Studies$Gay And Lesbian
137,Brian Michael Bendis,male,June 5 2012,1956,South Sudan,Comics Graphic Novels
138,Erma Bombeck,female,July 11 2017,1982,Kosovo,Nonfiction
139,Rochelle Maya Callen,male,October 6 2009,1956,Bhutan,Young Adult
140,Leslea Wahl,female,September 27 2019,1973,Panama,Young Adult
141,Gayle Forman,female,August 9 2013,1976,Chad,Young Adult
142,Edward W. Said,male,October 7 2012,1960,Turkey,Fiction
143,K. Bromberg,male,January 22 2014,1982,Slovakia,Romance
144,Phillipa Ashley,male,July 13 2013,1981,Pakistan,Science Fiction
145,Sally O'Reilly,female,March 20 2009,1997,Hungary,Science Fiction
146,Brother Andrew,male,February 1 2012,1989,South Africa,Religion Spirituality$Christian Fiction
147,Eileen Dreyer,female,June 5 2018,1969,Marshall,Thriller
148,Stieg Larsson,male,May 26 2014,1960,Liechtenstein,Fiction$Thriller
149,Lois Lowry,male,August 13 2014,1951,Sudan,Children S Books$Fiction
150,Anita Loos,female,June 7 2015,1964,Andorra,Fiction$Biographies Memoirs
151,Michelle Magorian,female,April 4 2011,1999,Marshall,Children S Books
152,Jill Eileen Smith,female,August 12 2018,1960,Philippines,Fiction
153,John Crowley,male,December 25 2011,1979,Dominica,Science Fiction
154,Jeremy Flagg,male,April 22 2011,1963,El Salvador,Science Fiction
155,Tom   Turner,male,February 9 2007,1990,Holland,Science Fiction
156,Karen Horney,male,March 23 2014,1991,Lithuania,Psychology$Psychoanalysis$Women Gender Studies
157,Bram Stoker,male,July 2 2012,1986,Brunei,Horror
158,Harry James Fox,male,November 17 2008,1961,Lithuania,Science Fiction
159,Shelly Bell,female,June 23 2009,1978,Ecuador,Romance
160,Shanna Hatfield,female,September 23 2013,1953,Panama,Romance
161,Lisa Unger,female,April 4 2007,1985,Moldova,Mystery
162,Michael  Pierce,male,May 2 2009,1987,Samoa,Young Adult
163,Amanda Marrone,female,January 26 2014,1963,Czech,Children S Books$Young Adult
164,Darren Endymion,male,December 2 2010,1956,Chad,Paranormal$Gay And Lesbian
165,Renée Ahdieh,male,January 19 2011,1970,Gambia,Young Adult
166,Shilpi Somaya Gowda,female,September 26 2009,1981,Ghana,Fiction
167,Pete Hamill,male,August 6 2017,1981,Cape Verde,Biographies Memoirs$Fiction
168,Anne  Barton,female,November 16 2007,1960,India,Romance
169,Peter Gent,male,October 16 2010,1977,Tajikistan,Sports and Games$Science Fiction
170,David Hackett Fischer,male,October 17 2018,1984,Ecuador,History
171,Eric R. Kandel,male,October 13 2008,1994,Burundi,Science Fiction$Biographies Memoirs
172,Robert Lawson,male,April 1 2011,1992,Lithuania,Children S
173,Shayla Kersten,female,August 22 2012,1960,Israel,Gay Lesbian$Romance
174,Iain M. Banks,male,April 14 2013,1953,Jamaica,Science Fiction
175,Patrick Carman,male,November 3 2017,1977,Uzbekistan,Young Adult$Children S Books
176,Andrew Seaward,male,February 6 2018,1960,Saudi Arabia,Fiction$Humor
177,Mayandree Michel,female,August 3 2015,1970,Iceland,Romance$Historical
178,Chris Abouzeid,male,April 12 2010,1998,Yemen,Young Adult$Children S Books
179,Janice Galloway,female,December 17 2013,1950,Emirate,Science Fiction$Memoir
180,M.H. Herlong,female,January 17 2017,1970,Tonga,Science Fiction$Young Adult
181,Mike Gold,male,April 9 2013,1977,Netherlands,Comics Graphic Novels
182,Meredith Daniels,male,October 4 2012,1963,Palau,Gay And Lesbian
183,James E. Talmage,male,July 13 2016,1977,Switzerland,Religion Spirituality
184,Ashley Suzanne,female,October 15 2014,1991,Tanzania,Romance
185,Herodotus,male,August 3 2017,1964,Qatar,History$Fiction
186,Debra Dockter,male,November 23 2009,1956,Solomon,Young Adult
187,Wendell Berry,male,February 19 2011,1987,Holland,Poetry$Fiction$Outdoors Nature
188,Chloe Neill,female,September 2 2012,1970,Latvia,Science Fiction$Young Adult
189,Santino Hassell,male,November 9 2009,1972,Mozambique,Gay Lesbian
190,Joey W. Hill,female,May 22 2011,1967,Bahamas,Romance
191,Zenna Henderson,female,February 3 2013,1956,Czech,Science Fiction
192,Marie Force,female,February 9 2010,1991,Armenia,Romance
193,Colleen Houck,female,May 23 2012,1998,Lesotho,Romance
194,Sarah Diemer,male,April 21 2009,1977,Tobago,Young Adult
195,Amélie Nothomb,female,January 24 2009,1963,Macedonia,Fiction
196,Eliza Tilton,female,August 7 2008,1968,Zimbabwe,Young Adult
197,Amy  Stewart,female,June 3 2013,1958,Slovenia,Fiction
198,Tiffanie DeBartolo,female,December 17 2010,1976,Herzegovina,Science Fiction
199,Rachel Cohn,female,July 24 2011,1992,Haiti,Young Adult
200,Ashwin Sanghi,male,May 24 2015,1989,Grenada,Historical
201,K.C. Blake,male,February 11 2012,1996,Bissau,Young Adult$Science Fiction$Fantasy
202,William Gibson,male,July 25 2008,1985,Morocco,Science Fiction
203,Samuel Snoek-Brown,male,February 18 2010,1992,Czech,Fiction
204,Barry Hughart,male,July 19 2007,1986,Gambia,Science Fiction
205,Ian Frazier,male,November 8 2016,1950,British,Nonfiction
206,Robin Paige,male,August 3 2019,1990,England,Thriller
207,Balli Kaur Jaswal,female,November 23 2014,1988,Mexico,Contemporary$Historical
208,Vincent Bugliosi,male,December 22 2015,1971,Czech,Nonfiction$Thriller
209,Amy Finnegan,female,April 5 2016,1990,Japan,Young Adult
210,Lemony Snicket,male,December 16 2016,1994,Luxembourg,Children S Books$Thriller
211,Elizabeth Norris,female,January 27 2010,1999,Kuwait,Young Adult
212,Nikos Kazantzakis,male,June 4 2013,1967,Rwanda,Fiction$Philosophy
213,Beth Revis,female,November 11 2017,1977,Norway,Young Adult$Science Fiction
214,Kathleen  Barber,female,December 27 2016,1982,Benin,Suspense
215,Thomas More,male,August 14 2014,1983,Liechtenstein,Philosophy$Catholicism
216,Linus Suryadi,male,September 7 2014,1976,Samoa,Poetry
217,Jaclyn Dolamore,female,September 24 2014,1951,Antigua,Young Adult$Science Fiction
218,Lindsay Buroker,male,September 13 2014,1979,Singapore,Fantasy$Science Fiction
219,Samantha Stemler,female,March 13 2011,1977,Swaziland,Young Adult
220,Lynetta Halat,female,January 9 2019,1999,Armenia,Science Fiction$Romance
221,S.J. Frost,female,May 9 2012,1991,Holland,Gay Lesbian
222,Karen Whitelaw Smith,female,October 26 2007,1981,Sudan,Nonfiction$Health Mind Body
223,Jeff Smith,male,May 4 2017,1950,Senegal,Comics Graphic Novels
224,Jaclyn Friedman,male,December 1 2010,1953,Sudan,Poetry
225,Seth Grahame-Smith,male,November 22 2011,1959,East Timor,Horror$Fiction
226,Marisa Calin,female,December 27 2017,1959,Somalia,Young Adult
227,Brian Greene,male,December 2 2018,1967,Mauritania,Science Fiction
228,Susan  Wilson,male,April 25 2015,1966,Samoa,Fiction
229,Poppy Z. Brite,male,August 19 2018,1955,Marshall,Horror$Fiction
230,Mark  Thompson,male,October 15 2017,1988,Afghanistan,History
231,Devon Monk,female,April 6 2011,1955,United States,Science Fiction
232,Leo Tolstoy,male,November 8 2019,1954,Brunei,Science Fiction$Philosophy$Fiction
233,Patrick Donovan,male,September 21 2018,1962,Oman,Fantasy
234,Mia Castile,female,January 14 2019,1969,Grenada,Young Adult$New Adult
235,M.A. Stacie,female,June 6 2014,1981,Indonesia,Romance
236,Gene Wolfe,male,August 9 2008,1986,Tajikistan,Fiction$Science Fiction
237,Tasaro G.K.,male,February 18 2017,1972,Norway,Fiction$Historical$Nonfiction
238,Cinda Williams Chima,female,July 11 2016,1963,Tanzania,Fiction
239,Chuck Gallagher,male,November 21 2007,1960,Finland,Self Help
240,Emme Rollins,female,August 7 2009,1971,Barbados,Science Fiction
241,James Clavell,male,November 19 2008,1973,Ireland,Historical
242,Travis Bradberry,male,April 12 2011,1997,Djibouti,Biography
243,K.N. Lee,female,October 28 2014,1990,Algeria,Fantasy
244,Kerry O'Malley Cerra,female,October 28 2016,1963,Denmark,Children S
245,Sierra Dean,female,August 26 2010,1970,Tanzania,Science Fiction$Romance
246,Alice Oswald,female,April 8 2014,1976,Niger,Poetry
247,Damon Suede,male,December 21 2009,1973,Kyrgyzstan,Gay Lesbian
248,John Ringo,male,March 23 2015,1995,Croatia,Science Fiction
249,Leigh Evans,male,June 26 2011,1973,Central African Republic,Paranormal
250,Sidney Sheldon,male,September 20 2012,1958,Monaco,Fiction$Thriller$Children S Books
251,Kazuma Kodaka,female,July 26 2014,1982,Vatican,Manga$Gay And Lesbian$Romance
252,Jami Brumfield,female,June 24 2010,1995,South Sudan,Fantasy$Paranormal
253,Lola Stark,female,April 17 2017,1974,Namibia,Erotica
254,Andrew Clements,male,September 1 2011,1950,Solomon,Children S Books
255,Jordan Castillo Price,female,February 17 2018,1992,Burma,Horror$Gay Lesbian
256,Michelle   Cooper,female,February 10 2015,1989,Angola,Young Adult
257,Diane Mae Robinson,male,December 9 2017,1962,Malta,Children S
258,Julia Heaberlin,female,July 5 2007,1967,America,Science Fiction
259,Walter Farley,male,July 19 2008,1963,Armenia,Children S$Science Fiction
260,Megan McCafferty,male,August 21 2019,1959,Montenegro,Young Adult
261,Jaime Rush,male,October 14 2007,1996,Togo,Romance
262,Shaun Hutson,male,December 11 2013,1954,Great Britain,Fiction$Horror
263,Matt Rees,male,January 20 2012,1969,Mali,Thriller
264,Ally Carter,female,May 1 2018,1987,Benin,Young Adult
265,Melody Grace,male,July 3 2008,1975,St Lucia,Romance$Contemporary
266,Terri Blackstock,female,March 6 2014,1985,Brunei,Religion Spirituality
267,Eric Shonkwiler,male,December 27 2014,1973,Grenadines,Contemporary
268,Penny Watson,female,July 10 2013,1998,Scottish,Science Fiction$Humor
269,Clayton M. Christensen,male,January 1 2019,1966,British,Innovation
270,Lorie Ann Grover,female,July 4 2008,1968,Tanzania,Fiction
271,J.K. Accinni,male,April 21 2011,1993,New Zealand,Paranormal
272,Michael  Grant,male,March 23 2010,1976,Sweden,Young Adult
273,Anatoli Rybakov,male,October 13 2019,1974,Eritrea,History$Historical
274,Allie Larkin,female,September 23 2007,1974,Djibouti,Fiction$Humor
275,Greer Macallister,female,February 22 2011,1989,Netherlands,Historical
276,Jay Northcote,male,July 16 2008,1975,Liechtenstein,Romance
277,Timothy Zahn,male,April 3 2014,1962,Georgia,Science Fiction
278,Regan Walker,male,April 26 2007,1995,Palau,Historical
279,Emily Murdoch,female,August 28 2008,1967,Korea,Young Adult
280,Molly Gloss,male,February 18 2008,1972,Oman,Fiction$Science Fiction
281,David Markson,male,November 23 2007,1978,Maldives,Fiction$Poetry$Nonfiction
282,Joshua Zeitz,male,March 19 2014,1966,Bissau,History
283,Elizabeth Ellen Carter,male,July 23 2013,1986,Canada,Romance
284,Mary Norton,female,April 14 2015,1983,Libya,Fiction$Children S Books
285,Elizabeth Cunningham,male,June 6 2016,1965,Sudan,Historical
286,Robert D. Kaplan,male,May 5 2018,1965,England,History$Politics
287,Mark Klempner,male,May 13 2012,1994,San Marino,History
288,Lisa Cach,female,March 7 2007,1971,Eritrea,Romance
289,M.K. England,female,July 2 2017,1997,Mali,Young Adult
290,Eric Berne,male,January 16 2010,1951,South Africa,Psychology$Psychotherapy Psychoanalysis$Transactional Analysis
291,Masami Tsuda,male,December 12 2013,1978,Bhutan,Comics Graphic Novels$Romance
292,Teresa Orts,male,June 21 2015,1954,France,Young Adult
293,Christine M. Knight,male,April 17 2009,1975,Egypt,Fiction
294,James  Jones,male,July 7 2017,1968,St Lucia,Fiction$Biographies Memoirs
295,Cheryl Strayed,female,November 1 2012,1957,Liechtenstein,Fiction
296,Giles Milton,male,July 22 2018,1960,Gambia,Nonfiction
297,Heather Davis,female,September 18 2012,1959,Bhutan,Young Adult
298,Avery Aames,female,February 9 2016,1969,Mali,Thriller
299,Judith Butler,female,July 24 2015,1978,Trinidad,Philosophy$Women Gender Studies$Gay Lesbian
300,Kelly Anne Blount,female,February 4 2013,1953,Papua,Young Adult
301,Cat Gardiner,female,October 9 2014,1996,Mauritius,Romance
302,Federico García Lorca,male,August 21 2009,1975,Seychelles,Poetry$Fiction
303,Alfred Hitchcock,male,August 5 2014,1993,Paraguay,Thriller$Horror
304,Charity Parkerson,female,July 17 2018,1977,America,Romance
305,Neal Gabler,male,January 14 2013,1987,Niger,Biographies Memoirs$History
306,Lauren Child,female,June 17 2010,1976,Zambia,Children S Books
307,Tony DiTerlizzi,male,October 5 2016,1961,Burkina,Children S Books
308,M.T. Anderson,male,February 21 2016,1952,Tobago,Children S Books
309,Alison Croggon,female,February 16 2010,1985,Ghana,Fantasy
310,Chris Claremont,male,June 11 2016,1985,Eritrea,Comics Graphic Novels$Science Fiction
311,Debra Kayn,female,August 13 2011,1975,Philippines,Romance
312,Kristy  Marie,female,January 7 2014,1968,Indonesia,Romance
313,Jamie Fessenden,male,November 17 2014,1954,Emirate,Gay Lesbian
314,Rachel Hollis,female,April 28 2007,1964,Uruguay,Chick Lit
315,Dashiell Hammett,male,November 6 2014,1962,Palau,Thriller
316,Heinrich Böll,male,June 5 2013,1990,China,Fiction$Travel$Short Stories
317,Laura Lee Guhrke,female,May 15 2010,1961,Austria,Romance
318,Jennifer Hillier,female,January 22 2018,1959,Liberia,Thriller
319,J.R. Lenk,male,August 1 2013,1965,Philippines,Young Adult$Horror$Gay Lesbian
320,Roy A. Mauritsen,male,March 22 2009,1953,Ivory Coast,Fantasy
321,Ned Vizzini,male,June 4 2014,1963,Netherlands,Young Adult
322,Meredith Wild,female,March 22 2019,1980,Luxembourg,Romance
323,Bill Willingham,male,January 17 2008,1987,Niger,Comics Graphic Novels
324,Arturo Pérez-Reverte,male,June 1 2009,1972,Bosnia,Fiction
325,Dorothy Baker,female,January 2 2015,1993,Bulgaria,Fiction
326,Ann Aguirre,female,July 16 2018,1957,Namibia,Science Fiction$Romance
327,Victoria Denault,female,October 26 2017,1965,Greece,Romance
328,Terry Teachout,male,May 17 2010,1979,Liechtenstein,Biographies Memoirs$Arts Photography
329,May Sarton,female,November 27 2015,1993,Guinea,Poetry
330,Tricia Goyer,female,June 5 2017,1975,Austria,Religion Spirituality
331,Guy Gavriel Kay,male,July 22 2008,1978,Wales,Science Fiction
332,Scott O'Dell,male,March 21 2018,1971,Tunisia,Children S Books$Historical
333,Cyn Balog,female,April 4 2018,1998,Dominica,Young Adult$Paranormal
334,Carla J. Hanna,female,April 17 2013,1962,Mongolia,Young Adult
335,Courtney Summers,female,July 3 2013,1995,Kuwait,Young Adult
336,Jen Sincero,female,January 11 2017,1975,Madagascar,Humor
337,Kat Richardson,female,May 1 2014,1967,Guatemala,Science Fiction
338,Jean Plaidy,female,February 7 2019,1988,Jamaica,Historical$History
339,Elle Kennedy,female,April 14 2011,1977,Antigua,Romance
340,Yoshihiro Togashi,male,September 12 2009,1957,Solomon,Comics Graphic Novels
341,Robin York,female,March 24 2015,1952,Indonesia,Romance
342,George Eliot,female,June 25 2018,1976,United Kingdom,Fiction$Poetry
343,Claire Kent,male,December 28 2007,1982,Ghana,Romance
344,Lynelle Clark,male,March 27 2013,1951,Suriname,Contemporary
345,Nikolas Lee,male,April 7 2018,1968,Sri Lanka,Children S
346,Fran Sorin,female,July 20 2015,1996,Morocco,Gardening
347,Karen Marie Moning,female,October 16 2017,1967,Croatia,Paranormal
348,K.B. Miller,male,November 24 2011,1994,Costa Rica,Young Adult
349,Jordan Lynde,male,September 25 2009,1972,Sierra Leone,Young Adult
350,Shari Lambert,female,November 25 2009,1979,Vatican,Young Adult
351,Valia Lind,female,December 18 2019,1967,Belgium,Young Adult
352,Alex Duval,male,November 10 2007,1978,Macedonia,Science Fiction$Young Adult
353,Wataru Yoshizumi,female,January 19 2012,1965,Philippines,Comics Graphic Novels$Romance
354,Kerry Madden,female,September 21 2017,1968,Bhutan,Children S Books
355,C.V. Wedgwood,female,May 1 2012,1999,Somalia,History
356,Jennifer Bernard,female,August 1 2008,1960,Ivory Coast,Romance
357,Sam B. Morgan,male,March 18 2007,1987,Liechtenstein,Gay And Lesbian
358,Sara Furlong Burr,female,May 10 2014,1987,Tobago,Science Fiction
359,A.J.  Rose,male,April 4 2010,1986,South Africa,Gay Lesbian
360,Giada De Laurentiis,female,October 5 2009,1964,Madagascar,Cooking Food Wine
361,Sogyal Rinpoche,male,May 10 2012,1999,Kosovo,Spirituality$Self Help$Fiction
362,Richard Dawkins,male,June 19 2007,1971,Cambodia,Nonfiction$Science Fiction
363,Tatjana Soli,male,December 12 2007,1958,Algeria,Fiction
364,Leona Windwalker,female,November 12 2018,1978,Spain,Romance$Gay And Lesbian
365,Carl Jung,male,November 14 2015,1955,Djibouti,Psychology$Science Fiction
366,Kelly Creagh,male,February 8 2019,1956,Antigua,Young Adult$Horror
367,John Layman,male,May 20 2015,1980,Georgia,Comics Graphic Novels
368,Brandilyn Collins,female,April 22 2012,1998,Qatar,Suspense
369,Amber Kizer,female,August 8 2014,1993,Cape Verde,Young Adult$Fiction
370,Graham Masterton,male,August 2 2010,1993,Botswana,Horror$Health Mind Body
371,E.J. Copperman,male,June 2 2019,1983,Mozambique,Thriller$Humor
372,Tessa Afshar,female,July 17 2019,1980,Denmark,Historical
373,Carol Ryrie Brink,female,August 13 2012,1965,Grenada,Children S Books$Fiction
374,Lilly Singh,female,August 24 2015,1999,Welsh,Self Help
375,Jessica Park,female,August 25 2012,1977,Cameroon,Romance
376,Kimmery Martin,female,April 14 2012,1996,Palau,Science Fiction$Contemporary
377,William Makepeace Thackeray,male,December 9 2009,1953,San Marino,Science Fiction
378,Rachel Caine,male,May 5 2019,1967,Tobago,Thriller
379,Deborah Macgillivray,female,April 13 2012,1952,Argentina,Romance
380,James D. Doss,male,May 16 2008,1960,Kiribati,Thriller
381,Elizabeth Borton de Treviño,female,August 2 2018,1974,Herzegovina,Young Adult
382,Brooke McKinley,female,February 26 2015,1979,Trinidad,Gay Lesbian$Romance
383,Christine James,male,April 23 2018,1954,Laos,Science Fiction
384,Sarah Rees Brennan,female,June 18 2007,1967,America,Science Fiction$Young Adult
